year,laureate,contribution,affiliation
1966,"Alan J. Perlis","Programming languages and software engineering (ALGOL, structured programming)","Carnegie Institute of Technology"
1967,"Maurice V. Wilkes","Pioneer of programming systems and the EDSAC computer","University of Cambridge"
1968,"Richard W. Hamming","Error-correcting codes and system reliability","Bell Telephone Laboratories"
1969,"Marvin Minsky","Fundamental contributions to artificial intelligence","MIT"
1970,"James H. Wilkinson","Numerical analysis and matrix computation","National Physical Laboratory / University of Warwick"
1971,"John McCarthy","Foundations of AI and the LISP language","Stanford University"
1972,"Edsger W. Dijkstra","Programming methodology, algorithms, and program correctness","Eindhoven University of Technology"
1973,"Charles W. Bachman","Database systems (network data model)","Honeywell"
1974,"Donald E. Knuth","Analysis of algorithms and The Art of Computer Programming","Stanford University"
1975,"Allen Newell","Artificial intelligence and cognitive psychology","Carnegie Mellon University"
1975,"Herbert A. Simon","Artificial intelligence and cognitive psychology","Carnegie Mellon University"
1976,"Michael O. Rabin","Automata theory and computability","Hebrew University of Jerusalem"
1976,"Dana S. Scott","Automata theory and computability","Carnegie Mellon University"
1977,"John Backus","Programming languages and compilers (FORTRAN, functional programming)","IBM"
1978,"Robert W. Floyd","Algorithms, semantics, and program verification","Stanford University"
1979,"Kenneth E. Iverson","The APL language and notation as a tool of thought","IBM"
1980,"C.A.R. (Tony) Hoare","Language design and program verification (Hoare logic)","University of Oxford"
1981,"Edgar F. Codd","Relational model for database management","IBM"
1982,"Stephen A. Cook","Complexity theory (P vs NP, NP-completeness)","University of Toronto"
1983,"Kenneth L. Thompson","UNIX system and C language co-development","Bell Labs"
1983,"Dennis M. Ritchie","UNIX system and C programming language","Bell Labs"
1984,"Niklaus Wirth","Language design (Pascal, Modula) and software engineering","ETH Zürich"
1985,"Richard M. Karp","Combinatorial algorithms and complexity theory","University of California, Berkeley"
1986,"John E. Hopcroft","Algorithms and data structures","Cornell University"
1986,"Robert E. Tarjan","Algorithms and data structures","Princeton University"
1987,"John Cocke","Compiler optimization and computer architecture (RISC)","IBM"
1988,"Ivan E. Sutherland","Interactive computer graphics (Sketchpad)","Caltech / SRI / University of Utah"
1989,"William (Velvel) Kahan","Floating-point arithmetic and IEEE 754 standard","University of California, Berkeley"
1990,"Fernando J. Corbató","Time-sharing systems (CTSS, Multics)","MIT"
1991,"Robin Milner","Type systems, ML language, pi-calculus","University of Edinburgh / University of Cambridge"
1992,"Butler W. Lampson","Distributed systems and personal computing","Microsoft Research / Xerox PARC"
1993,"Juris Hartmanis","Complexity theory (complexity classes)","Cornell University"
1993,"Richard E. Stearns","Complexity theory","University at Albany, SUNY"
1994,"Edward A. Feigenbaum","Knowledge engineering and expert systems","Stanford University"
1994,"Raj Reddy","Artificial intelligence (speech recognition, autonomous systems)","Carnegie Mellon University"
1995,"Manuel Blum","Computational complexity and interactive proofs","Carnegie Mellon University / UC Berkeley"
1996,"Amir Pnueli","Temporal logic and formal verification","Weizmann Institute of Science / NYU"
1997,"Douglas C. Engelbart","Human-computer interaction, mouse, hypertext","Stanford Research Institute (SRI)"
1998,"Jim Gray","Database systems and transaction processing","Microsoft Research / Tandem / DEC"
1999,"Frederick P. Brooks, Jr.","Software engineering and computer architecture (OS/360, Mythical Man-Month)","University of North Carolina at Chapel Hill"
2000,"Andrew Chi-Chih Yao","Models of computation and complexity (communication, randomness)","Princeton University"
2001,"Ole-Johan Dahl","Object-oriented programming (Simula)","University of Oslo"
2001,"Kristen Nygaard","Object-oriented programming (Simula)","University of Oslo"
2002,"Ronald L. Rivest","Public-key cryptography (RSA)","MIT"
2002,"Adi Shamir","Public-key cryptography (RSA)","Weizmann Institute of Science"
2002,"Leonard M. Adleman","Public-key cryptography (RSA)","University of Southern California"
2003,"Alan C. Kay","Object-oriented systems and graphical interfaces (Smalltalk, GUI)","Viewpoints Research / Xerox PARC"
2004,"Vinton G. Cerf","Internet architecture and TCP/IP protocols","Google / DARPA"
